Task_ID,Task_Name,Duration_Days,Depends_On,Responsible_Team,Slack_Days,Critical_Path
A,Project Setup,3,-,Team 1 + Team 5,0,Yes
B,Database Schema Design,5,A,Team 3,0,Yes
C,CI/CD Pipeline Setup,4,A,Team 1 (DevOps),7,No
D,User Authentication Backend,10,B,Team 1 (Backend),0,Yes
E,User Authentication Frontend,7,D,Team 1 (Frontend),2,No
F,Event Management Backend,12,B,Team 1 (Backend),0,Yes
G,Event Management Frontend,10,F,Team 1 (Frontend),2,No
H,Integration Testing Phase 1,3,E,Team 5,5,No
I,Integration Testing Phase 2,4,G,Team 5,8,No
J,Booking System Backend,12,F,Team 1 (Backend),0,Yes
K,Booking System Frontend,10,J,Team 1 (Frontend),2,No
L,QR Code Integration,5,K,Team 1 + Team 5,0,Yes
M,Integration Testing Phase 3,4,L,Team 5,0,Yes
N,Notification System,8,B,Team 1 (Backend),27,No
O,Reporting Backend,10,B,Team 1 (Backend),32,No
P,Email Integration,4,N,Team 1 (DevOps),23,No
Q,Reporting Frontend,8,O,Team 1 (Frontend),24,No
R,Integration Testing Phase 4,3,Q,Team 5,22,No
S,Admin Features,8,B,Team 1 (Backend + Frontend),15,No
T,System Testing,10,M,Team 2 + Team 5,0,Yes
U,UAT & Bug Fixes,8,T,Team 2 + Team 1,0,Yes
V,Deployment & Documentation,5,U,Team 1 + Team 2,0,Yes
